deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Domingos Neto,5,5,5,5,5,5,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,5,0            ,1            ,0            ,1            ,5,5,5,5,5,5,5
Domingos Sávio,5,5,5,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,5,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Dr. Jorge Silva,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,1            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Dr. João,1            ,5,1            ,0            ,0            ,0            ,0            ,5,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Dr. Sinval Malheiros,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,5,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Duarte Nogueira,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dulce Miranda,1            ,5,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Dâmina Pereira,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Décio Lima,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,5,0            ,3      ,1            ,0            ,1            ,5,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Edinho Araújo,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Edinho Bez,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,5,5,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Edio Lopes,1            ,0            ,1            ,5,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,5,5,5,5,0            ,1            ,5,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,5,5,5,5
Edmar Arruda,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Edmilson Rodrigues,5,5,5,5,5,5,3      ,5,3      ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Eduardo Barbosa,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Eduardo Bolsonaro,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,5,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Eduardo Cury,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Eduardo da Fonte,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,5,5,5,0            ,5,5,5,5,5,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Efraim Filho,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,5,5,5,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Elcione Barbalho,1            ,0            ,5,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,5,0            ,0            ,1            ,5,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Eli Corrêa Filho,1            ,5,1            ,5,5,5,5,1            ,0            ,1            ,1            ,1            ,0            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Elizeu Dionizio,1            ,5,5,5,5,5,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,5,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Eliziane Gama,5,5,1            ,0            ,0            ,0            ,5,1            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,0            ,1            ,1            ,1            ,1            ,1            ,0            
Elmar Nascimento,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,5,0            ,0            ,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Enio Verri,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,5,5,5,5,5
Erika Kokay,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,5,3      ,3      ,5,3      ,3      ,0            ,3      ,3      ,3      ,0            ,5,3      ,0            
Erivelton Santana,1            ,0            ,5,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Eros Biondini,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,5,5,5,0            ,1            ,0            ,1            ,5,5,5,5,5
Esperidião Amin,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Evair Vieira de Melo,1            ,5,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,1            ,0            ,0            
Evandro Gussi,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,5,5,5,5,5
Evandro Roman,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Expedito Netto,1            ,1            ,1            ,1            ,1            ,1            ,5,0            ,1            ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,0            ,1            ,5,0            ,1            ,1            ,1            ,0            ,1            ,0            ,5,5,0            ,0            ,0            ,0            ,0            
Ezequiel Fonseca,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Fabiano Horta,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,5,5,5,5,3      ,3      ,0            ,3      ,3      ,3      ,0            ,0            ,3      ,0            
Fabio Garcia,1            ,5,1            ,5,5,5,0            ,5,0            ,1            ,5,0            ,1            ,5,5,0            ,1            ,0            ,0            ,1            ,0            ,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Fabio Reis,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,5,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Fausto Pinato,1            ,5,1            ,0            ,5,5,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,0            ,0            ,5,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Felipe Bornier,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,5,5
Felipe Maia,1            ,0            ,1            ,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Fernando Coelho Filho,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,5,1            ,5,5,0            ,1            ,0            ,0            ,5,0            ,0            ,5,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Fernando Francischini,5,0            ,1            ,5,0            ,0            ,5,5,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Fernando Jordão,5,0            ,5,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,5,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Fernando Monteiro,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Fernando Torres,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,5,5,0            ,0            ,0            ,5,0            ,1            ,0            ,5,5,5,5,5,5
Flaviano Melo,5,0            ,1            ,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Flavinho,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,0            ,0            ,1            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Flávia Morais,3      ,5,3      ,5,3      ,3      ,3      ,5,3      ,1            ,3      ,1            ,1            ,0            ,1            ,1            ,1            ,5,3      ,0            ,3      ,3      ,3      ,3      ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,1            
Francisco Chapadinha,1            ,5,5,0            ,0            ,0            ,0            ,1            ,5,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Francisco Floriano,1            ,0            ,1            ,0            ,0            ,0            ,5,5,0            ,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Franklin Lima,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,5,5,1            ,1            ,1            
Fábio Faria,1            ,0            ,1            ,0            ,0            ,0            ,5,5,0            ,1            ,5,5,5,5,5,5,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Fábio Mitidieri,5,5,5,5,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,1            ,1            ,5,5,5,5,5,5,5,1            ,5,5,5,5,5,5,5,5
Fábio Ramalho,5,0            ,1            ,5,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,4      ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Fábio Sousa,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,5,5,5,5,5
Félix Mendonça Júnior,3      ,3      ,3      ,3      ,3      ,3      ,3      ,5,3      ,0            ,5,5,0            ,1            ,1            ,1            ,3      ,5,3      ,3      ,3      ,3      ,3      ,5,3      ,0            ,3      ,3      ,3      ,5,5,5,5
Gabriel Guimarães,3      ,5,3      ,5,5,5,3      ,5,3      ,4      ,5,5,4      ,1            ,1            ,5,4      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,4      ,3      ,3      ,3      ,5,3      ,3      ,0            
Genecias Noronha,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1            ,5,0            ,0            ,5,5,5,5,5,5,5,5,5,5
George Hilton,0            ,1            ,0            ,1            ,1            ,1            ,5,5,5,0            ,5,5,5,5,5,5,5,5,1            ,0            ,5,5,5,0            ,1            ,0            ,5,0            ,0            ,5,5,5,5
Geovania de Sá,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Geraldo Resende,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Giacobo,1            ,0            ,5,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,6        ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,5,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Gilberto Nascimento,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,5,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Giovani Cherini,5,0            ,1            ,5,0            ,0            ,0            ,5,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Giuseppe Vecci,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Givaldo Carimbão,1            ,5,1            ,0            ,0            ,0            ,5,5,5,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,5,0            ,1            ,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,5,5,5
Givaldo Vieira,3      ,3      ,3      ,3      ,3      ,3      ,3      ,5,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Glauber Braga,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,0            ,0            ,3      ,3      ,0            
Gonzaga Patriota,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            ,5,5,5,5,5,5,5
Gorete Pereira,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,5,1            ,5,5,5,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Goulart,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Guilherme Mussi,5,5,1            ,5,1            ,1            ,5,5,0            ,1            ,0            ,0            ,5,5,5,5,5,5,5,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Heitor Schuch,1            ,0            ,5,5,0            ,0            ,5,1            ,5,0            ,1            ,1            ,0            ,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,5,0            ,0            ,5,0            ,0            ,0            ,5,0            ,0            
Helder Salomão,3      ,5,3      ,3      ,3      ,3      ,3      ,5,3      ,0            ,3      ,1            ,0            ,1            ,5,1            ,3      ,1            ,3      ,3      ,1            ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Henrique Fontana,0            ,5,3      ,5,3      ,3      ,3      ,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,5,3      ,3      ,0            ,3      ,3      ,0            
Herculano Passos,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Hermes Parcianello,5,5,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,5,0            ,1            ,5,0            ,0            ,1            ,5,5,5,5,0            ,5,1            ,0            ,1            ,5,5,5,5,5,5,5
Heráclito Fortes,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Hildo Rocha,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Hiran Gonçalves,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,1            ,5,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Hissa Abrahão,1            ,0            ,5,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,5,5,0            ,5,5,5,5,5,5,1            ,3      ,3      ,3      ,1            ,0            ,3      ,3      ,3      ,5,5,5,5
Hugo Leal,1            ,5,1            ,5,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Hugo Motta,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,5,5,5,5,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Hélio Leite,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Ildon Marques,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Indio da Costa,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,5,5,0            ,5,0            ,1            ,5,5,5,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Iracema Portella,1            ,5,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,5,5,5,0            ,0            ,5,5,0            ,1            ,0            ,1            ,1            ,5,5,5,5
Irajá Abreu,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,5,5,5,5,5,0            ,1            ,5,5,5,5,5,5,5,5,1            ,5,1            ,1            ,5,5,1            ,1            
Irmão Lazaro,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,5,0            ,0            ,0            ,4      ,5,5,5,5,5
Ivan Valente,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,0            ,0            
Izalci,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
JHC,1            ,5,1            ,0            ,5,5,0            ,5,0            ,0            ,1            ,1            ,0            ,1            ,5,1            ,0            ,5,5,0            ,1            ,1            ,5,5,1            ,0            ,0            ,0            ,0            ,0            ,0            ,0            ,0            
Jaime Martins,1            ,0            ,1            ,0            ,5,5,0            ,1            ,5,1            ,5,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Jair Bolsonaro,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jandira Feghali,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,5,3      ,3      ,3      ,3      ,0            ,3      ,3      ,0            ,0            ,0            ,3      ,0            
Janete Capiberibe,0            ,4      ,0            ,1            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,1            ,0            ,5,1            ,1            ,0            ,1            ,5,0            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,0            ,0            ,5,5,5,5
Jarbas Vasconcelos,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jean Wyllys,3      ,3      ,3      ,3      ,3      ,3      ,5,3      ,3      ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,5,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,3      ,0            
Jefferson Campos,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,5,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jerônimo Goergen,5,5,5,5,5,5,0            ,1            ,0            ,1            ,5,5,5,5,5,5,5,5,5,5,5,0            ,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Jhonatan de Jesus,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Joaquim Passarinho,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jones Martins,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jony Marcos,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,5,0            ,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jorge Boeira,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Jorge Côrte Real,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jorge Solla,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,5,5,3      ,0            ,3      ,3      ,5,3      ,3      ,0            ,3      ,3      ,3      ,5,5,5,5
Jorge Tadeu Mudalen,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jorginho Mello,1            ,5,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,5,5,1            ,5,0            ,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jose Stédile,1            ,0            ,1            ,5,0            ,0            ,5,1            ,0            ,0            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Josi Nunes,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,1            ,0            ,5,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
